代碼|追蹤|股數|均價|買進區間|賣出區間|催化劑日期|備註|更新時間|分析師評論|外資目標價|外資評等|外資上調幅度
2881 富邦金||||80～88|98～108|2026-11-25 (Q3法說會)|金控月獲利、壽險投資收益與匯率變動。|2026-08-19 12:24:58|觀望 (0位)|129.5||+0.0%
2884 玉山金||||28～30|34～38|2026-11-15 (Q3法說會)|金控月獲利、海外金融與財富管理。|2026-08-19 12:24:59|觀望 (0位)|||
2890 永豐金||||24～26|30～37|2026-11-17 (Q3法說會)|金控月獲利、證券與銀行業務成長。|2026-08-19 12:25:00|觀望 (0位)|||
3048 益登||||28～32|38～42|2026-11-12 (Q3財報)|半導體通路、AI零組件與庫存循環。|2026-08-19 12:25:01|觀望 (0位)|||
3162 精確||||40～45|55～60|2026-11-12 (Q3財報)|電動車零組件與海外產能利用率。|2026-08-19 14:29:26|觀望 (0位)|||
3088 艾訊||||80～88|100～110|2026-11-05 (Q3財報)|工業電腦、邊緣AI與機器人應用。|2026-08-19 14:29:28|觀望 (0位)|||
3711 日月光投控||||140～155|180～200|2026-10-30 (Q3法說會)|先進封裝、AI晶片封測需求與價格調整。|2026-08-19 14:29:29|觀望 (0位)|||
4904 遠傳||||82～86|92～96|2026-11-04 (Q3法說會)|電信資費、企業ICT與數位服務。|2026-08-19 14:29:31|觀望 (0位)|||
2303 聯電||||48～53|60～131|2026-10-28 (Q3法說會)|成熟製程晶圓代工稼動率、價格與產業庫存。|2026-08-19 14:29:32|觀望 (0位)|||
2812 台中銀||||16～18|21～23|2026-11-14 (Q3財報)|銀行月獲利、利差、資產品質與監理事件後續。|2026-08-19 14:29:33|觀望 (0位)|||
2834 臺企銀||||14～16|18～20|2026-11-14 (Q3財報)|中小企業放款、利差與資產品質。|2026-08-19 14:29:35|觀望 (0位)|||
2851 中再保||||25～28|32～35|2026-11-14 (Q3財報)|再保費率、投資收益與天災損失。|2026-08-19 14:29:36|觀望 (0位)|||
2449 京元電子||||110～125|145～348|2026-11-05 (Q3法說會)|AI晶片測試、先進製程測試與產能利用率。|2026-08-21 14:31:16|觀望 (0位)|||
2852 第一保||||19～21|24～26|2026-11-14 (Q3財報)|產險保費、投資收益與損失率。|2026-08-21 14:31:17|觀望 (0位)|||
2883 凱基金||||15～17|20～22|2026-11-22 (Q3法說會)|金控月獲利、壽險投資收益與整合效益。|2026-08-21 14:31:18|觀望 (0位)|||
2886 兆豐金||||36～39|44～48|2026-11-20 (Q3法說會)|金控月獲利、外匯業務與高股利題材。|2026-08-21 14:31:19|觀望 (0位)|||
2887 台新新光金||||17～19|22～25|2026-11-24 (Q3法說會)|金控月獲利、整合進度、資本適足率與股利政策。|2026-08-21 14:31:20|觀望 (0位)|||
2889 國票金||||13～15|17～19|2026-11-20 (Q3法說會)|票券、證券與金控月獲利。|2026-08-21 14:31:21|觀望 (0位)|||
2892 第一金||||25～27|30～33|2026-11-26 (Q3法說會)|銀行利差、中小企業放款與金控月獲利。|2026-08-21 14:31:23|觀望 (0位)|||
3036 文曄||||100～115|135～150|2026-11-06 (Q3法說會)|半導體通路、資料中心與併購綜效。|2026-08-21 14:31:24|觀望 (0位)|320||+55.3%
3211 順達||||110～125|150～165|2026-11-10 (Q3財報)|儲能、伺服器電池備援與電池模組。|2026-08-21 14:31:25|觀望 (0位)|||
3289 宜特||||130～145|175～190|2026-11-05 (Q3財報)|半導體驗證、先進封裝可靠度測試。|2026-08-21 14:31:26|觀望 (0位)|||
3455 由田||||75～85|105～120|2026-11-12 (Q3財報)|面板、半導體與玻璃基板檢測設備。|2026-08-21 14:31:27|觀望 (0位)|||
6282 康舒||||32～36|42～46|2026-11-10 (Q3財報)|電源供應器、儲能與AI伺服器電力需求。|2026-08-21 14:31:28|觀望 (0位)|||
7530 鋒魁科技||||40～50|65～80|2026-11-14 (Q3財報)|新掛牌後營運表現與市場流動性。|2026-08-21 16:48:59|觀望 (0位)|||
8074 鉅橡||||22～25|30～34|2026-11-12 (Q3財報)|PCB耗材與載板產業需求。|2026-08-21 16:49:00|觀望 (0位)|||
3260 威剛||||85～95|115～130|2026-11-08 (Q3財報)|NAND／DRAM報價、企業級SSD與庫存價差。|2026-08-21 16:49:01|觀望 (0位)|||
7856 漢測||||120～140|180～200|2026-11-14 (Q3財報)|半導體測試設備、探針卡與新產品驗證。|2026-08-21 16:49:02|觀望 (0位)|||
3481 群創||||14～16|20～70|2026-10-30 (Q3法說會)|面板價格、轉型、面板級封裝與資產活化。|2026-08-21 16:49:03|觀望 (0位)|65|中立|+41.2%
3443 創意|焦點股|||1,100～1,250|1,500～5,125|2026-08-17 (法說會)|法說會；AI ASIC接單、先進製程投片與量產時程。|2026-08-21 16:49:05|觀望 (0位)|5535||+0.0%
3661 世芯-KY|焦點股|||2,400～2,700|3,200～3,600|2026-11-06 (Q3法說會)|AI ASIC專案、先進製程投片與雲端客戶需求。|2026-08-21 16:49:06|觀望 (0位)|6000||+62.2%
6664 群翊||||180～210|250～280|2026-11-10 (Q3財報)|高階載板、先進封裝、玻璃基板塗佈與烘烤設備。|2026-08-24 2:41:35|觀望 (0位)|||
6156 松上||||20～23|28～32|2026-11-14 (Q3財報)|LED、電子零組件通路與轉型進度。|2026-08-24 2:41:36|觀望 (0位)|||
5289 宜鼎|焦點股|||1,380～1,450|1,850～2,280|2026-11-10 (Q3財報)|工控記憶體、企業級SSD與記憶體報價。|2026-08-24 2:41:37|觀望 (0位)|360||+0.0%
6515 穎崴|焦點股|||9,500～10,500|12,500～14,800|2026-11-08 (Q3法說會)|AI／HPC測試座、先進封裝測試與新平台導入。|2026-08-24 2:41:38|觀望 (0位)|14800||+0.0%
6598 ABC-KY||||20～24|30～35|2026-11-14 (Q3財報)|生技研發、臨床與授權里程碑。|2026-08-24 2:41:39|觀望 (0位)|||
8299 群聯|焦點股|||2,000～2,200|2,730～2,900|2026-11-06 (Q3法說會)|aiDAPTIV+ 方案與 PCIe 5.0 控制晶片拉貨強勁；儲存需求持續增溫。|2026-08-24 2:41:40|觀望 (0位)|2750||+32.5%
